pws_id,entry_id,count,meter_size_measure,meter_type,type
CA0800548,0,60,0,UN,CB
CA0800552,0,89,0,UN,CB
CA0800555,0,210,0,ME,CB
CA0800556,0,41,0,UM,CB
CA0800557,0,65,0,UN,CB
CA0800603,0,23,0,UN,CB
CA0800605,0,42,0,UN,CB
CA0800608,0,7,0,UN,CB
CA0800615,0,14,0,UN,CB
CA0800622,0,1,0,UN,CB
CA0800627,0,78,0,UN,CB
CA0800632,0,1,0,UN,CB
CA0800635,0,1,0,UN,CB
CA0800647,0,1,0,UN,CB
CA0800649,0,1,0,UN,CB
CA0800661,0,1,0,UN,CB
CA0800700,0,84,0,UN,CB
CA0800795,0,11,0,UN,CB
CA0800800,0,51,0,UN,CB
CA0800825,0,27,0,UN,CB
CA0800850,0,3,0,UN,CB
CA0800861,0,21,0,UN,CB
CA0810001,0,3416,0,UN,CB
CA0810002,0,582,0,UM,CB
CA0810003,0,629,0,UN,CB
CA0810300,0,1,0,UN,CB
CA0810303,0,1,0,UN,CB
CA0810500,0,1,0,UN,CB
CA0810800,0,1,0,UN,CB
CA0900100,0,2,0,UN,CB
CA0900102,0,50,0,UN,CB
CA0900103,0,3,0,UN,CB
CA0900104,0,1,0,UN,CB
CA0900105,0,4,0,UN,CB
CA0900106,0,1,0,UN,CB
CA0900107,0,3,0,UN,CB
CA0900108,0,2,0,UN,CB
CA0900109,0,8,0,UM,CB
CA0900110,0,3,0,UN,CB
CA0900111,0,5,0,UN,CB
CA0900112,0,30,0,UN,CB
CA0900113,0,10,0,UN,CB
CA0900116,0,1,0,UN,CB
CA0900118,0,3,0,UN,CB
CA0900120,0,79,0,UN,CB
CA0900204,0,6,0,UN,CB
CA0900205,0,6,0,UN,CB
CA0900206,0,44,0,UN,CB
CA0900208,0,51,0,UN,CB
CA0900210,0,7,0,UN,CB
CA0900212,0,2,0,UN,CB
CA0900213,0,1,0,UN,CB
CA0900214,0,45,0,UN,CB
CA0900216,0,2,0,UN,CB
CA0900219,0,4,0,UN,CB
CA0900300,0,120,0,UN,CB
CA0900301,0,41,0,UN,CB
